date,time,fromZone,toZone
2022-06-01,10:20,2,1
2022-06-01,10:45,2,1
2022-06-01,11:45,1,1
2022-06-01,16:15,1,1
2022-06-01,18:15,1,1
2022-06-01,19:00,1,2
2022-06-02,10:20,2,1
2022-06-02,10:45,2,1
2022-06-02,11:45,1,1
2022-06-02,16:15,1,1
2022-06-03,10:20,2,1
2022-06-03,10:45,2,1
2022-06-03,11:45,1,1
2022-06-03,16:15,1,1
2022-06-03,18:15,2,1
2022-06-04,10:20,2,1
2022-06-04,10:45,2,1
2022-06-04,11:45,1,1
2022-06-04,16:15,1,1
2022-06-04,18:15,2,1
2022-06-05,10:20,2,1
2022-06-05,10:45,2,1
2022-06-05,11:45,1,1
2022-06-05,16:15,1,1
2022-06-05,18:15,2,1
2022-06-06,10:20,2,1
2022-06-06,10:45,2,1
2022-06-06,11:45,1,1
2022-06-06,16:15,1,1
2022-06-06,18:15,2,1
2022-06-07,10:20,2,1
2022-06-07,10:45,2,1
2022-06-07,11:45,1,1
2022-06-07,16:15,1,1
2022-06-07,18:15,2,1
